date,credit,gdp,credit_yoy,gdp_yoy,ratio,trend,gap
2000-01-01,400810847000000.0,1012908548900000.0,,,39.57028968066991,13.540404037214836,26.029885643455074
2000-04-01,436356218000000.0,1007085097400000.0,,,43.32863420643841,16.203934733927504,27.124699472510905
2000-07-01,443899684000000.0,1031621787400000.0,,,43.02930486944852,18.867530505354175,24.16177436409434
2000-10-01,471149924000000.0,1061287238500000.0,,,44.39419479554969,21.531324237957524,22.862870557592164
2001-01-01,495869028000000.0,1053724548700000.0,23.716469180286424,4.029583899190636,47.05869561563912,24.195509222636137,22.86318639300298
2001-04-01,525447644000000.0,1064503041700000.0,20.417132224754965,5.701399459513046,49.36084007433795,26.860335907465,22.50050416687295
2001-07-01,484274826000000.0,1064723806500000.0,9.095555472393624,3.2087359441513197,45.48361021361271,29.52611189848507,15.957498315127637
2001-10-01,491251202000000.0,1079803504200000.0,4.266429214153922,1.7446987986184048,45.4944997019579,32.19320105299772,13.301298648960177
2002-01-01,471444476000000.0,1092967373400000.1,-4.925605476613882,3.7242014289611713,43.13435949450455,34.862007122050095,8.272352372454456
2002-04-01,461571689000000.0,1107016689400000.1,-12.156483282281116,3.9937553989612073,41.69509759154313,37.532967109935946,4.162130481607186
2002-07-01,485521423000000.0,1121225595599999.9,0.2574151975432315,5.306708533712112,43.302741652110036,40.20653870182997,3.096202950280066
2002-10-01,508345481000000.0,1133346850700000.0,3.4797429360793775,4.958619442494672,44.85347805802131,42.88318998823306,1.9702880697882463
2003-01-01,517395706000000.0,1148138310800000.0,9.746901775130778,5.0478119240077834,45.063883082125265,45.56339680015353,-0.49951371802826117
2003-04-01,511291408000000.0,1161156638700000.0,10.77183028875066,4.890617261546759,44.032940170107295,48.247639894319846,-4.214699724212551
2003-07-01,532990425000000.06,1173320795600000.0,9.776911944830925,4.646272811148466,45.42580571304416,50.93639877867621,-5.510593065632044
2003-10-01,562958491000000.0,1184885007800000.0,10.743286217980552,4.547430212398607,47.511656177105024,53.63014242441748,-6.118486247312454
2004-01-01,558237257000000.0,1198807260600000.0,7.893677996624127,4.413139891194362,46.56605572447098,56.32932602625585,-9.763270301784871
2004-04-01,639277533000000.0,1213143896800000.0,25.03193345271313,4.4771959585231835,52.69593612812709,59.03438948268784,-6.338453354560755
2004-07-01,659914678000000.0,1227905795300000.0,23.813608471484258,4.652180367440506,53.743103137547344,61.74574828403428,-8.002645146486934
2004-10-01,706729849000000.0,1262459879800000.0,25.53853619733395,6.5470380238867865,55.980380866595205,64.46380207448259,-8.483421207887382
2005-01-01,745476147000000.0,1272698656900000.0,33.541095233634685,6.163742807414896,58.57444281553717,67.18893049160732,-8.614487676070155
2005-04-01,802075341000000.0,1287273733300000.0,25.465904806011697,6.110555944396845,62.30806395340903,69.92149196443,-7.6134280110209716
2005-07-01,856270996000000.0,1301458227900000.0,29.75480384753617,5.99007129712501,65.79319855556618,72.66182338575297,-6.868624830186789
2005-10-01,858111634000000.0,1319954094900000.0,21.42003556439569,4.554141958880176,65.01071797235575,75.4102426148085,-10.399524642452747
2006-01-01,832611735000000.0,1337393578300000.0,11.688581633450967,5.0832866876422855,62.256298258763664,78.16705033926678,-15.910752080503116
2006-04-01,879596878000000.0,1354469278200000.0,9.665119102570685,5.219988815256915,64.94033435508601,80.93252124798637,-15.992186892900364
2006-07-01,912495590000000.0,1376301897300000.0,6.56621493226428,5.750754637800859,66.30054000434895,83.70689025294558,-17.406350248596638
2006-10-01,963083789000000.0,1398245434200000.0,12.232925279276664,5.931368340952137,68.87802137190772,86.49035228565546,-17.61233091374774
2007-01-01,973950842000000.0,1420985934200000.0,16.975392137609013,6.250393097165663,68.54049843556854,89.2830587617514,-20.74256032618287
2007-04-01,977618018000000.0,1444669538600000.0,11.14387084034194,6.659454138367038,67.67070197571896,92.08511706604156,-24.414415090322606
2007-07-01,1048294058000000.0,1467445669000000.0,14.882095813745245,6.622367656311745,71.43665214633579,94.89658272693327,-23.459930580597486
2007-10-01,1177290818000000.0,1480153989000000.0,22.24178534065222,5.857952602352934,79.53840118995889,97.71745023679615,-18.179049046837264
2008-01-01,1225570790000000.0,1513102545400000.0,25.834974122852095,6.482584308750439,80.99720628491912,100.54765543817332,-19.550449153254206
2008-04-01,1343566202000000.0,1535470288100000.0,37.4326349619305,6.2852262800524805,87.50193425510933,103.3870887259852,-15.885154470875861
2008-07-01,1453349591000000.0,1555810590000000.0,38.63949527413997,6.021682633076075,93.41430122287572,106.23559161902928,-12.821290396153557
2008-10-01,1537663014000000.0,1558463576500000.0,30.61029530598105,5.290637871597825,98.66531609633675,109.0929659232169,-10.427649826880142
2009-01-01,1540477647000000.0,1579713843600000.0,25.69470972786485,4.402298998339926,97.51624658105263,111.95898139123341,-14.44273481018078
2009-04-01,1538189958000000.0,1599707709300000.0,14.485609693834789,4.183566539700867,96.15443802999994,114.83338170663959,-18.678943676639648
