date,credit,gdp,credit_yoy,gdp_yoy,ratio,trend,gap,GDP_Growth,Interest_Rate
2000-01-01,400810847000000.0,1012908548900000.0,,,39.57028968066991,13.540404037214836,26.029885643455074,4.0295838991906585,12.63
2000-04-01,436356218000000.0,1007085097400000.0,,,43.32863420643841,16.203934733927504,27.124699472510905,4.0295838991906585,11.8866666666667
2000-07-01,443899684000000.0,1031621787400000.0,,,43.02930486944852,18.86753050535417,24.16177436409434,4.0295838991906585,12.33
2000-10-01,471149924000000.0,1061287238500000.0,,,44.39419479554969,21.531324237957524,22.862870557592164,4.0295838991906585,13.1666666666667
2001-01-01,495869028000000.0,1053724548700000.0,23.716469180286424,4.029583899190636,47.05869561563912,24.195509222636137,22.86318639300298,4.0295838991906585,14.3466666666667
2001-04-01,525447644000000.0,1064503041700000.0,20.417132224754965,5.701399459513046,49.36084007433795,26.860335907465,22.50050416687295,5.701399459513046,14.95
2001-07-01,484274826000000.0,1064723806500000.0,9.095555472393624,3.20873594415132,45.48361021361271,29.52611189848507,15.957498315127635,3.2087359441513197,15.64
2001-10-01,491251202000000.0,1079803504200000.0,4.266429214153922,1.7446987986184048,45.4944997019579,32.19320105299772,13.301298648960175,1.7446987986184048,16.99
2002-01-01,471444476000000.0,1092967373400000.0,-4.925605476613882,3.7242014289611713,43.13435949450455,34.862007122050095,8.272352372454456,3.7242014289611713,17.2166666666667
2002-04-01,461571689000000.0,1107016689400000.0,-12.156483282281116,3.9937553989612073,41.69509759154313,37.532967109935946,4.162130481607186,3.9937553989612073,16.22
2002-07-01,485521423000000.0,1121225595600000.0,0.2574151975432315,5.306708533712112,43.30274165211004,40.20653870182997,3.096202950280066,5.306708533712112,14.7966666666667
2002-10-01,508345481000000.0,1133346850700000.0,3.479742936079377,4.958619442494672,44.85347805802131,42.88318998823306,1.9702880697882463,4.958619442494672,13.7766666666667
2003-01-01,517395706000000.0,1148138310800000.0,9.746901775130778,5.047811924007784,45.06388308212527,45.56339680015353,-0.4995137180282611,5.0478119240077834,13.18
2003-04-01,511291408000000.0,1161156638700000.0,10.77183028875066,4.890617261546759,44.032940170107295,48.247639894319846,-4.214699724212551,4.890617261546759,12.0166666666667
2003-07-01,532990425000000.06,1173320795600000.0,9.776911944830925,4.646272811148466,45.42580571304416,50.93639877867621,-5.510593065632044,4.646272811148444,9.60333333333333
2003-10-01,562958491000000.0,1184885007800000.0,10.743286217980552,4.547430212398607,47.511656177105024,53.63014242441748,-6.118486247312454,4.547430212398607,7.56
2004-01-01,558237257000000.0,1198807260600000.0,7.893677996624127,4.413139891194362,46.56605572447098,56.32932602625585,-9.763270301784871,4.413139891194362,6.39
2004-04-01,639277533000000.0,1213143896800000.0,25.03193345271313,4.477195958523184,52.69593612812709,59.03438948268784,-6.338453354560755,4.477195958523161,6.16333333333333
2004-07-01,659914678000000.0,1227905795300000.0,23.813608471484255,4.652180367440506,53.743103137547344,61.74574828403428,-8.002645146486934,4.652180367440506,6.54666666666667
2004-10-01,706729849000000.0,1262459879800000.0,25.53853619733395,6.5470380238867865,55.980380866595205,64.46380207448259,-8.483421207887382,6.5470380238867865,6.67333333333333
2005-01-01,745476147000000.0,1272698656900000.0,33.541095233634685,6.163742807414896,58.57444281553717,67.18893049160732,-8.614487676070155,6.163742807414918,6.79333333333333
2005-04-01,802075341000000.0,1287273733300000.0,25.465904806011697,6.110555944396845,62.30806395340903,69.92149196443,-7.6134280110209716,6.110555944396845,7.03
2005-07-01,856270996000000.0,1301458227900000.0,29.75480384753617,5.99007129712501,65.79319855556618,72.66182338575297,-6.868624830186789,5.9900712971250325,7.87666666666667
2005-10-01,858111634000000.0,1319954094900000.0,21.42003556439569,4.554141958880176,65.01071797235575,75.4102426148085,-10.399524642452748,4.554141958880176,10.6166666666667
2006-01-01,832611735000000.0,1337393578300000.0,11.688581633450967,5.0832866876422855,62.256298258763664,78.16705033926678,-15.910752080503116,5.0832866876422855,12.2466666666667
2006-04-01,879596878000000.0,1354469278200000.0,9.665119102570683,5.219988815256915,64.94033435508601,80.93252124798637,-15.992186892900364,5.219988815256915,11.85
2006-07-01,912495590000000.0,1376301897300000.0,6.56621493226428,5.750754637800859,66.30054000434895,83.70689025294558,-17.406350248596638,5.750754637800837,11.32
2006-10-01,963083789000000.0,1398245434200000.0,12.232925279276664,5.931368340952137,68.87802137190772,86.49035228565546,-17.61233091374774,5.931368340952137,10.2266666666667
2007-01-01,973950842000000.0,1420985934200000.0,16.975392137609013,6.250393097165663,68.54049843556854,89.2830587617514,-20.74256032618287,6.250393097165663,8.87
2007-04-01,977618018000000.0,1444669538600000.0,11.14387084034194,6.659454138367038,67.67070197571896,92.08511706604156,-24.414415090322606,6.659454138367016,8.07666666666667
2007-07-01,1048294058000000.0,1467445669000000.0,14.882095813745243,6.622367656311745,71.43665214633579,94.89658272693327,-23.459930580597486,6.622367656311745,7.54666666666667
2007-10-01,1177290818000000.0,1480153989000000.0,22.24178534065222,5.857952602352934,79.53840118995889,97.71745023679615,-18.179049046837264,5.857952602352934,7.41
2008-01-01,1225570790000000.0,1513102545400000.0,25.834974122852092,6.482584308750439,80.99720628491912,100.54765543817332,-19.55044915325421,6.482584308750439,7.34
2008-04-01,1343566202000000.0,1535470288100000.0,37.4326349619305,6.2852262800524805,87.50193425510933,103.3870887259852,-15.88515447087586,6.2852262800524805,7.35333333333333
2008-07-01,1453349591000000.0,1555810590000000.0,38.63949527413997,6.021682633076075,93.41430122287572,106.23559161902928,-12.821290396153556,6.021682633076075,8.55666666666667
2008-10-01,1537663014000000.0,1558463576500000.0,30.61029530598105,5.290637871597825,98.66531609633677,109.0929659232169,-10.427649826880142,5.290637871597825,10.72
2009-01-01,1540477647000000.0,1579713843600000.0,25.69470972786485,4.402298998339926,97.51624658105264,111.9589813912334,-14.44273481018078,4.402298998339904,11.04
2009-04-01,1538189958000000.0,1599707709300000.0,14.485609693834787,4.183566539700867,96.15443802999994,114.8333817066396,-18.678943676639648,4.183566539700867,9.67333333333333
2009-07-01,1560245388000000.0,1624632362900000.0,7.355133111947865,4.423531588122187,96.03682800057804,117.7158744461592,-21.67904644558115,4.423531588122187,8.69
2009-10-01,1637765126000000.0,1648555884300000.0,6.510016244690653,5.780841410636595,99.34544176495528,120.60612048915677,-21.260678724201483,5.780841410636595,7.71
2010-01-01,1593835904000000.0,1675191915300000.0,3.4637475658223504,6.044010571080105,95.143481140462,123.50372651738073,-28.360245376918712,6.044010571080127,7.12666666666667
2010-04-01,1755385804000000.0,1703416510000000.0,14.12022259477006,6.482984366274058,103.050885892846,126.40824606088265,-23.357360168036635,6.4829843662740805,6.96
2010-07-01,1819853416000000.0,1728911044900000.0,16.638922953829628,6.418601794553736,105.26009544379193,129.3191617491006,-24.05906630530869,6.4186017945537355,6.95333333333333
2010-10-01,1970186911000000.0,1756613629800000.0,20.297280710323285,6.554691080180319,112.15823887375372,132.2358978180722,-20.077658944318472,6.554691080180319,7.02666666666667
2011-01-01,2000979437000000.0,1782173392000000.0,25.544884010844825,6.386222123143504,112.27748354802056,135.15781835616937,-22.8803348081488,6.3862221231435035,6.87
2011-04-01,2156899477000000.0,1807972704300000.0,22.8732437100192,6.138028702093545,119.29933852818289,138.08423725761665,-18.784898729433763,6.138028702093523,6.93666666666667
2011-07-01,2350369731000000.0,1835406001900000.0,29.151595965682976,6.159655079660831,128.05721069708355,141.01441121580163,-12.957200518718082,6.159655079660831,6.94333333333333
2011-10-01,2512216965000000.0,1862083201800000.0,27.51160567424966,6.004141731042378,134.9143240523056,143.9475499618651,-9.03322590955949,6.004141731042378,6.97
2012-01-01,2657559329000000.0,1890316142400000.0,32.812925503341894,6.068026314692054,140.58808838324185,146.88283083394654,-6.294742450704689,6.068026314692054,6.50333333333333
