Date,P10_Forecast,P50_Forecast,P90_Forecast
2025-07-01,-26.715128237985226,-20.556238191796815,-20.023572716708088
2025-10-01,-24.753094897449078,-18.45568771569522,-17.91726032633359
2026-01-01,-24.051750094332917,-17.800603524189015,-17.220031215888397
2026-04-01,-23.219913947574977,-16.496982945803666,-15.929680936713188
2026-07-01,-20.45216427752572,-14.431282922174137,-13.880667622685449
2026-10-01,-20.110015469959478,-13.660265021280592,-13.092107036232845
2027-01-01,-20.993346200586537,-14.504442319056785,-13.947477045158339
