Date,ARIMA_Forecast,LSTM_Forecast,XGB_Forecast,ENSEMBLE_Forecast,P10_Lower,P90_Upper
2025-07-01,-29.139329841626175,-23.133249879098525,-17.762337,-20.539686051091216,-26.28919107042399,-19.991331185148816
2025-10-01,-27.379120219179992,-23.287247480052347,-13.38202,-18.430369717613907,-24.73799477832995,-17.874139758688887
2026-01-01,-26.74395206960268,-23.93416686110599,-11.433396,-17.786489346832596,-24.2598276265901,-17.25535646766242
2026-04-01,-26.44619218113857,-24.210589111459292,-8.543735,-16.495112879109783,-23.089647952921673,-15.929209989756659
2026-07-01,-27.90355792767274,-24.293719739356362,-4.3700056,-14.428321703322059,-20.632221680077233,-13.886928133382723
2026-10-01,-25.544465414946828,-25.733851587079073,-1.3735218,-13.670580635067335,-20.01153592810809,-13.100236335449944
2027-01-01,-24.521943185349393,-27.27478776397791,-1.5411974,-14.535531352228901,-20.98083478762746,-13.952806601773135
